Arabic,English,Dutch
ال,the,de
و,and; with,en; met
في,"in, inside; on (a date); at (a time); about (a topic); among (with plural pronoun) فيكم among you all; could (in requests) هل فينا أنْ could we…?","in, binnenin; op (een datum); op (een tijdstip); over (een onderwerp); onder (met meervoudig voornaamwoord) فيكم onder jullie allemaal; zouden (in verzoeken) هل فينا أنْ zouden we…?"
مِن,from; (with following verb or verbal noun) since,van; (met daaropvolgend werkwoord of werkwoordelijk zelfstandig naamwoord) sinds
ل,"for, to","want, om"
ب,"with, by","met, door"
بِسَبَب,"because of, due to","vanwege, als gevolg van"
عَلى,"on, above","op, boven"
أنَّ,that,Dat
إلى,"to, towards; till, until","naar, richting; tot, totdat"
كانَ، يَكونُ، الكَوْن,to be,zijn
لا,"no; not, non-","nee; niet, niet-"
ولا…ولا,neither…nor,noch… noch
ألا,doesn’t/didn’t?,doet/deed niet?
الله,Allah,Allah
والله,I swear (by God),Ik zweer (bij God)
أنْ,to,naar
لِأنْ,in order to,om te
بَعدَ أنْ,"after (with perfect. or imperfect) بَعدَ أنْ ذَهَبَ after he went, بَعدَ أنْ يَذهَبَ : after he goes","na (met voltooid. of onvoltooid) بَعدَ أنْ ذَهَبَ nadat hij ging, بَعدَ أنْ يَذهَبَ: nadat hij ging"
عَن,"from, about","van, ongeveer"
عَن طَريق,"by way of, via","door middel van, via"
قالَ، يَقولُ، القَوْل,"to say إنَّ that, to tell ل somebody إنَّ that","om إنَّ te zeggen, om ل iemand إنَّ dat te vertellen"
هذا,this (masc singular),dit (mannelijk enkelvoud)
مَعَ,with,met
مَعَ هَذا/ذَلِك,nevertheless,hoe dan ook
معاً,together,samen
ألَّتي,"(fem singular) who, whom; which, that","(vrouwelijk enkelvoud) wie, wie; welke, dat"
كُلّ,each; every; all (of),elk; ieder; alle (van)
الكُلّ,everyone,iedereen
كُلُّ شَيْءٍ,everything,alles
كُلُّ ما,everything that,alles dat
كُلُّ مَن,everyone that,iedereen die
كُلُّ مِن,each one of (the following),elk van (de volgende)
عَلى كُلٍّ,"in any case, anyhow","in ieder geval, hoe dan ook"
هُوَ,"he, it","hij, het"
ف,"and, so",en dus
هَذِهِ,this (fem singular),dit (vrouwelijke zang)
أَوْ,or,of
ألَّذي,"(masc singular) who, whom; which","(mannelijk enkelvoud) wie, wie; welke"
أنا,I,I
يَوْم، أيّام,day,dag
اليَوْم,today,Vandaag
يَوْماً ما,someday,ooit
يَوماً,ever; (with neg) never,ooit; (met negatie) nooit
لَم,(with jussive) did not,(met jussief) deed niet
ألَم,didn’t…?,niet…?
ما,not,niet
أما,don’t/doesn’t/didn’t…?,niet/doet niet/deed niet…?
إنَّ,truly; that (after قالَ),werkelijk; dat (na قالَ)
ما,"what, whatever, that which","wat, wat dan ook, dat wat"
يَيْنَ/ما بَيْنَ,between; among,tussen; onder
فيما بَينَنا,among ourselves,onderling
هِيَ,she; it; they,zij; het; zij
بَعدَ,after,na
يا,O…!,O…!
ذَلِك,(masc singular) that,(mannelijk enkelvoud) dat
